name,chain,volume,mkt_cap,floor,avg_price,sales,assets,owners,percent_owners,address,royalties
Angry Pitbull Club,Ethereum,0.675,1191.5,0.108,0.1125,6,10000,5077,50.77,0x05fee3b8e939acbb4e8073d784e3ec0977509770,750
Louz,Ethereum,2.4837,33.75,0.0019,0.004065,611,7777,1928,24.79,0x1487c54567f466ece0d9bf9a766b2cad45371a25,500
FernDaddy,Ethereum,0.467,736.8,0.15,0.1557,3,4993,544,10.9,0x29aa0bf7e7bd17a201ac9270cdd21bdd53d2abb6,750
ZenApe,Ethereum,8.6842,1285.97,0.2433,0.2481,35,5000,2274,45.48,0x838804a3dd7c717396a68f94e736eaf76b911632,500
Zoofrenz Apefrenz 2.0,Ethereum,0.4,696.64,0.085,0.2,2,4184,1830,43.74,0x44ab21cb8972c7b783dda32e93ed8a9075da8e6f,500
DEGEN TOONZ,Ethereum,224.84,25729.39,2.1,2.3919,94,8888,3664,41.22,0x19b86299c21505cdf59ce63740b240a9c822b5e4,600
Fluffy Polar Bears,Ethereum,0.1703,466.55,0.0473,0.04258,4,9441,3678,38.96,0x98ab7eaacb2f5157a40a9d1de6c2abd1a73ef9fa,500
Avius Animae,Ethereum,0.8412,147.6,0.0109,0.01379,61,10000,3374,33.74,0x0eda3c383f13c36db1c96bd9c56f715b09b9e350,500
Mintonians,Ethereum,0.29,1946.21,0.14,0.145,2,9999,641,6.41,0xae6ee49ae244cc6279806c7c301fa5f104fc5e3d,1000
The Weirdos: Battle Royale,Ethereum,0.1218,214.03,0.0198,0.0203,6,9270,3382,36.48,0xda216128024e122354ba20b648b8cc0a3e2be51c,500
Blvck Genesis,Ethereum,2.381,1173.95,0.072,0.0821,29,9998,5911,59.12,0x83b070e842adba2397113c4bca70c00d7df00729,750
Great Ape Society,Ethereum,0,399.88,0.03,0,0,10000,4591,45.91,0xa0f38233688bb578c0a88102a95b846c18bc0ba7,500
Ugly People,Ethereum,0.1956,319.61,0.019,0.01956,10,10000,5143,51.43,0xca52c16c468624b78bd52431eb1b6856d38e61ff,650
goblintown,Ethereum,665.33,15492.64,2.5,2.8433,234,9999,4526,45.26,0xbce3781ae7ca1a5e050bd9c4c77369867ebc307e,750
Save the Martians,Ethereum,0.00499,211.66,0.00489,0.002495,2,14160,4059,28.67,0x4961db588dd962abb20927aa38fa33e5225b3be2,250
The Randoms,Ethereum,0.2883,145.06,0.016,0.01922,15,6333,1391,21.96,0x79aa05963c92a2a10d96bd840eb5e73a1e675e92,800
SKIES,Ethereum,0.009,14.41,0.009,0.009,1,1601,563,35.17,0x506543b7f2dce30e235714446dc9bd634efae8a1,500
Crecodiles,Ethereum,0.984,530.34,0.03,0.07569,13,8888,1598,17.98,0x2ca113e1aa37d83662a1d3f84e209f7068700fa6,500
